Q3,Q5,hireability_HR_10,years_experience_H,prev_jobs_H,applicant_male,applicant_age,applicant_ethnicity,hireability_Software_10,years_experience_S,prev_jobs_S,Q226,Q227,Q228,male,male_10_TEXT,birth_year,race,educ,educ_8_TEXT,Q43,Q117,PROLIFIC_PID,Job,Cond,Name,Dates1,Dates2
6,ice,70,10,2,1,35,7,,,,,,,0,,74,2,6,,No,34,80,HR,Male Treat,Samuel Brown,6 years,4 years
6,ice,,,,,,,71,9,2,0,28,7,0,,65,2,7,,no,40,81,Software,Female Treat,Jessica Smith,6 years,4 years
6,ice,78,10,2,1,35,5,,,,,,,10,,75,2,4,,,37,82,HR,Male Treat,Samuel Brown,6 years,4 years
6,ice,100,6,2,0,30,7,,,,,,,0,,74,2,3,,No,43,83,HR,Female Normal,Sarah Brown,Jan 2015 - Present.,Jan 2011 - Jan 2015.
6,ice,97,5,3,1,35,7,,,,,,,0,,68,3,6,,No,34,8.40E+01,HR,Male Normal,Samuel Brown,Jan 2015 - Present.,Jan 2011 - Jan 2015.
6,ice,100,10,4,0,37,7,,,,,,,0,,65,2,6,,No,37,8.50E+01,HR,Female Treat,Sarah Brown,6 years,4 years
6,ice,100,15,4,1,36,6,,,,,,,0,,77,2,5,,No,38,86,HR,Male Normal,Samuel Brown,Jan 2015 - Present.,Jan 2011 - Jan 2015.
6,ice,,,,,,,70,3,1,1,27,7,1,,73,3,5,,No,32,87,Software,Male Normal,James Smith,Jan 2015 - Present.,Jan 2011 - Jan 2015.
6,ice,,,,,,,35,4,3,0,28,7,1,,74,2,6,,No,40,88,Software,Female Normal,Jessica Smith,Jan 2015 - Present.,Jan 2011 - Jan 2015.
6,ice,99,5,2,0,30,7,,,,,,,0,,71,2,5,,No,41,89,HR,Female Normal,Sarah Brown,Jan 2015 - Present.,Jan 2011 - Jan 2015.
6,ice,,,,,,,84,8,2,1,28,7,0,,66,2,4,,,38,90,Software,Male Treat,James Smith,6 years,4 years
6,ice,,,,,,,93,10,2,0,35,7,1,,49,2,5,,No,37,91,Software,Female Treat,Jessica Smith,6 years,4 years
1,,,,,,,,,,,,,,,,,,,,,,9.20E+01,,,,,
6,ice,,,,,,,76,7,2,1,22,7,0,,81,2,4,,No,33,9.30E+01,Software,Male Normal,James Smith,Jan 2015 - Present.,Jan 2011 - Jan 2015.
6,ice,95,4,1,1,24,7,,,,,,,0,,75,3,6,,No,37,94,HR,Male Normal,Samuel Brown,Jan 2015 - Present.,Jan 2011 - Jan 2015.
6,ice,79,5,1,1,35,6,,,,,,,1,,57,2,2,,No,31,95,HR,Female Normal,Sarah Brown,Jan 2015 - Present.,Jan 2011 - Jan 2015.
6,ice,,,,,,,85,9,3,0,45,7,0,,75,3,5,,No,34,96,Software,Female Treat,Jessica Smith,6 years,4 years
6,ice,72,10,2,0,31,7,,,,,,,0,,69,2,5,,No,43,97,HR,Male Treat,Samuel Brown,6 years,4 years
6,ice,82,8,2,1,35,7,,,,,,,0,,71,2,6,,No,37,98,HR,Male Treat,Samuel Brown,6 years,4 years
1,,,,,,,,,,,,,,,,,,,,,,99,,,,,
6,ice,,,,,,,78,14,1,0,28,7,1,,60,2,5,, No,36,1.00E+02,Software,Female Normal,Jessica Smith,Jan 2015 - Present.,Jan 2011 - Jan 2015.
6,ice,80,10,2,0,35,6,,,,,,,0,,67,2,7,,No,33,1.01E+02,HR,Female Treat,Sarah Brown,6 years,4 years
6,ice,,,,,,,91,10,3,0,42,7,0,,75,2,6,,No,37,102,Software,Male Normal,James Smith,Jan 2015 - Present.,Jan 2011 - Jan 2015.
6,ice,,,,,,,100,8,3,0,30,7,1,,75,2,3,,No,44,103,Software,Female Normal,Jessica Smith,Jan 2015 - Present.,Jan 2011 - Jan 2015.
6,ice,100,10,2,0,35,7,,,,,,,1,,51,2,6,,,37,104,HR,Female Normal,Sarah Brown,Jan 2015 - Present.,Jan 2011 - Jan 2015.
6,ice,80,10,2,0,30,8,,,,,,,0,,73,2,5,,No,41,105,HR,Female Normal,Sarah Brown,Jan 2015 - Present.,Jan 2011 - Jan 2015.
