CODE	Label - English	Label - French	Label - German	Standard code	Note (EN only)
UK612	Gloucestershire (NUTS 1995)	Gloucestershire (NUTS 1995)	Gloucestershire (NUTS 1995)	N	
UK613	Wiltshire (NUTS 1995)	Wiltshire (NUTS 1995)	Wiltshire (NUTS 1995)	N	
UK62	Cornwall, Devon (NUTS 1995)	Cornwall, Devon (NUTS 1995)	Cornwall, Devon (NUTS 1995)	N	
UK621	Cornwall (NUTS 1995)	Cornwall (NUTS 1995)	Cornwall (NUTS 1995)	N	
UK622	Devon (NUTS 1995)	Devon (NUTS 1995)	Devon (NUTS 1995)	N	
UK63	Dorset, Somerset (NUTS 1995)	Dorset, Somerset (NUTS 1995)	Dorset, Somerset (NUTS 1995)	N	
UK631	Dorset (NUTS 1995)	Dorset (NUTS 1995)	Dorset (NUTS 1995)	N	
UK632	Somerset (NUTS 1995)	Somerset (NUTS 1995)	Somerset (NUTS 1995)	N	
UK7	West Midlands (NUTS 1995)	West Midlands (NUTS 1995)	West Midlands (NUTS 1995)	N	
UK71	Hereford and Worcester, Warwickshire (NUTS 1995)	Hereford and Worcester, Warwickshire (NUTS 1995)	Hereford and Worcester, Warwickshire (NUTS 1995)	N	
UK711	Hereford and Worcester (NUTS 1995)	Hereford and Worcester (NUTS 1995)	Hereford and Worcester (NUTS 1995)	N	
UK712	Warwickshire (NUTS 1995)	Warwickshire (NUTS 1995)	Warwickshire (NUTS 1995)	N	
UK72	Shropshire, Staffordshire (NUTS 1995)	Shropshire, Staffordshire (NUTS 1995)	Shropshire, Staffordshire (NUTS 1995)	N	
UK721	Shropshire (NUTS 1995)	Shropshire (NUTS 1995)	Shropshire (NUTS 1995)	N	
UK722	Staffordshire (NUTS 1995)	Staffordshire (NUTS 1995)	Staffordshire (NUTS 1995)	N	
UK73	West Midlands (County) (NUTS 1995)	West Midlands (County) (NUTS 1995)	West Midlands (County) (NUTS 1995)	N	
UK8	North West (UK) (NUTS 1995)	North West (UK) (NUTS 1995)	North West (UK) (NUTS 1995)	N	
UK81	Cheshire (NUTS 1995)	Cheshire (NUTS 1995)	Cheshire (NUTS 1995)	N	
UK82	Greater Manchester (NUTS 1995)	Greater Manchester (NUTS 1995)	Greater Manchester (NUTS 1995)	N	
UK83	Lancashire (NUTS 1995)	Lancashire (NUTS 1995)	Lancashire (NUTS 1995)	N	
UK84	Merseyside (NUTS 1995)	Merseyside (NUTS 1995)	Merseyside (NUTS 1995)	N	
UK9	Wales (NUTS 1995)	Wales (NUTS 1995)	Wales (NUTS 1995)	N	
UK91	Clwyd, Dyfed, Gwynedd, Powys (NUTS 1995)	Clwyd, Dyfed, Gwynedd, Powys (NUTS 1995)	Clwyd, Dyfed, Gwynedd, Powys (NUTS 1995)	N	
UK911	Clwyd (NUTS 1995)	Clwyd (NUTS 1995)	Clwyd (NUTS 1995)	N	
UK912	Dyfed (NUTS 1995)	Dyfed (NUTS 1995)	Dyfed (NUTS 1995)	N	
UK913	Gwynedd (NUTS 1995)	Gwynedd (NUTS 1995)	Gwynedd (NUTS 1995)	N	
UK914	Powys (NUTS 1995)	Powys (NUTS 1995)	Powys (NUTS 1995)	N	
UK92	Gwent, Mid-South-West Glamorgan (NUTS 1995)	Gwent, Mid-South-West Glamorgan (NUTS 1995)	Gwent, Mid-South-West Glamorgan (NUTS 1995)	N	
UK921	Gwent (NUTS 1995)	Gwent (NUTS 1995)	Gwent (NUTS 1995)	N	
UK922	Mid Glamorgan (NUTS 1995)	Mid Glamorgan (NUTS 1995)	Mid Glamorgan (NUTS 1995)	N	
UK923	South Glamorgan (NUTS 1995)	South Glamorgan (NUTS 1995)	South Glamorgan (NUTS 1995)	N	
UK924	West Glamorgan (NUTS 1995)	West Glamorgan (NUTS 1995)	West Glamorgan (NUTS 1995)	N	
UKA	Scotland (NUTS 1995)	Scotland (NUTS 1995)	Scotland (NUTS 1995)	N	
UKA1	Borders-Central-Fife-Lothian-Tayside (NUTS 1995)	Borders-Central-Fife-Lothian-Tayside (NUTS 1995)	Borders-Central-Fife-Lothian-Tayside (NUTS 1995)	N	
UKA11	Borders (NUTS 1995)	Borders (NUTS 1995)	Borders (NUTS 1995)	N	
